country,iso,year,affected,affected_per_100k,injured,dwellings_damaged,dwellings_destroyed,livelihoods,deaths,missing,livelihood_share
Tonga,TON,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tonga,TON,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tonga,TON,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kiribati,KIR,2008,85.0,81.557,,,,85.0,,,1.0
Tonga,TON,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tonga,TON,2009,7.0,6.53,7.0,0.0,0.0,0.0,9.0,7.0,0.0
Tonga,TON,2010,0.0,0.0,0.0,0.0,0.0,0.0,,,
Micronesia,FSM,2011,,,,,,,2.0,0.0,
Fiji,FJI,2012,,,,,,,25.0,,
Palau,PLW,2012,,,,1080.0,,,,,
Tonga,TON,2012,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Fiji,FJI,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Solomon Islands,SLB,2013,7576.748,1273.521,1.0,6550.0,26.0,1000.0,0.0,0.0,0.132
Tonga,TON,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fiji,FJI,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kiribati,KIR,2014,44.0,38.153,,44.0,,,,,
Solomon Islands,SLB,2014,14830.926,2404.074,0.0,1591.0,0.0,13240.0,22.0,30.0,0.893
Tonga,TON,2014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Fiji,FJI,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kiribati,KIR,2015,2507.0,2146.128,,42.0,65.0,2400.0,,,0.957
Marshall Islands,MHL,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Micronesia,FSM,2015,7600.0,6990.691,10.0,,830.0,6760.0,9.0,0.0,0.889
Nauru,NRU,2015,,,,,,,0.0,0.0,
Palau,PLW,2015,0.0,0.0,0.0,,,,0.0,0.0,
Solomon Islands,SLB,2015,185886.459,29071.332,0.0,5044.0,2364.0,178478.0,0.0,0.0,0.96
Tonga,TON,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tuvalu,TUV,2015,,,,,,,0.0,0.0,
Fiji,FJI,2016,633583.971,68930.31,144.0,42288.0,50738.0,540414.0,44.0,1.0,0.853
Kiribati,KIR,2016,,,,,,,4.0,,
Marshall Islands,MHL,2016,27452.0,57540.506,6452.0,0.0,0.0,21000.0,0.0,0.0,0.765
Micronesia,FSM,2016,,,,,,,0.0,0.0,
Nauru,NRU,2016,,,,,,,0.0,0.0,
Palau,PLW,2016,11009.0,61858.74,9.0,,,11000.0,0.0,0.0,0.999
Solomon Islands,SLB,2016,60857.98,9187.788,10562.0,8203.0,69.0,42024.0,0.0,0.0,0.691
Tonga,TON,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tuvalu,TUV,2016,1002.614,9173.045,0.0,109.0,694.0,200.0,0.0,0.0,0.199
Fiji,FJI,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marshall Islands,MHL,2017,7029.0,15106.708,623.0,0.0,0.0,6406.0,0.0,0.0,0.911
Micronesia,FSM,2017,0.0,0.0,0.0,,,,0.0,0.0,
Nauru,NRU,2017,,,,,,,0.0,0.0,
Palau,PLW,2017,,,,,,,0.0,0.0,
Solomon Islands,SLB,2017,51464.897,7505.76,0.0,0.0,365.0,51100.0,0.0,0.0,0.993
Tonga,TON,2017,0.0,0.0,0.0,,,0.0,0.0,0.0,
Tuvalu,TUV,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fiji,FJI,2018,155725.401,16978.718,3.0,4858.0,865.0,150000.0,8.0,1.0,0.963
Kiribati,KIR,2018,,,,,,,95.0,0.0,
Marshall Islands,MHL,2018,0.0,0.0,0.0,,,0.0,0.0,0.0,
Micronesia,FSM,2018,1266.0,1151.862,1.0,15.0,50.0,1200.0,1.0,1.0,0.948
Nauru,NRU,2018,,,,,,,0.0,0.0,
Palau,PLW,2018,,,,,,,0.0,0.0,
Solomon Islands,SLB,2018,194154.76,27380.41,0.0,4390.0,256.0,189509.0,0.0,0.0,0.976
Tonga,TON,2018,80003.0,75784.099,3.0,,,80000.0,0.0,0.0,1.0
Tuvalu,TUV,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vanuatu,VUT,2018,7286.0,2554.17,0.0,,,7286.0,0.0,0.0,1.0
Fiji,FJI,2019,78045.2,8530.472,3.0,262.0,24.0,77756.0,2.0,0.0,0.996
Kiribati,KIR,2019,3.0,2.421,3.0,,,,,,
Marshall Islands,MHL,2019,35844.0,81450.678,2288.0,0.0,0.0,33556.0,1.0,0.0,0.936
Micronesia,FSM,2019,20732.0,18799.079,128.0,10000.0,604.0,10000.0,5.0,0.0,0.482
Nauru,NRU,2019,39.0,336.584,0.0,16.0,,39.0,0.0,0.0,1.0
Palau,PLW,2019,,,,,,,0.0,0.0,
Samoa,WSM,2019,5700.0,2717.132,5700.0,,,,83.0,,
Solomon Islands,SLB,2019,1833.318,251.779,50.0,783.0,701.0,300.0,0.0,0.0,0.164
Tuvalu,TUV,2019,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Vanuatu,VUT,2019,18.0,6.165,18.0,,,0.0,0.0,0.0,0.0
Fiji,FJI,2020,235921.471,25784.81,1221.0,37714.0,14094.0,182892.0,15.0,3.0,0.775
Kiribati,KIR,2020,15.394,12.208,0.0,6.0,6.0,3.0,0.0,0.0,0.195
Marshall Islands,MHL,2020,56718.0,132810.378,3560.0,0.0,0.0,53158.0,1.0,0.0,0.937
Micronesia,FSM,2020,0.0,0.0,0.0,,,,0.0,0.0,
Nauru,NRU,2020,1133.0,9731.169,33.0,,,1100.0,0.0,0.0,0.971
Palau,PLW,2020,,,,,,,0.0,0.0,
Papua New Guinea,PNG,2020,3297.0,33.589,3007.0,20.0,20.0,250.0,40.0,0.0,0.076
Samoa,WSM,2020,195.0,92.005,15.0,60.0,60.0,60.0,0.0,0.0,0.308
Solomon Islands,SLB,2020,2338.571,314.114,6.0,136.0,437.0,1760.0,35.0,0.0,0.753
Tuvalu,TUV,2020,2266.492,21795.286,0.0,246.0,1774.0,246.0,0.0,0.0,0.109
Vanuatu,VUT,2020,246802.016,82581.7,122.0,86680.0,0.0,160000.0,3.0,0.0,0.648
Fiji,FJI,2021,78029.013,8511.844,53879.0,5612.0,392.0,18147.0,709.0,2.0,0.233
Kiribati,KIR,2021,333.0,259.392,0.0,0.0,0.0,333.0,0.0,0.0,1.0
Marshall Islands,MHL,2021,0.0,0.0,,0.0,0.0,,0.0,0.0,
Micronesia,FSM,2021,15010.0,13446.929,0.0,5.0,5.0,15000.0,0.0,0.0,0.999
Nauru,NRU,2021,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,
Palau,PLW,2021,20000.0,112466.963,0.0,4220.0,,20000.0,0.0,0.0,1.0
Papua New Guinea,PNG,2021,,,,,,,651.0,1.0,
Samoa,WSM,2021,15.0,7.017,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,SLB,2021,,,,,,,3.0,0.0,
Tuvalu,TUV,2021,6.0,58.858,0.0,,,6.0,0.0,0.0,1.0
Vanuatu,VUT,2021,1400.0,457.714,0.0,400.0,0.0,1000.0,0.0,0.0,0.714
Fiji,FJI,2022,1786.503,194.307,,1737.0,50.0,,184.0,,
Marshall Islands,MHL,2022,52914.0,132030.841,26437.0,28.0,12.0,26437.0,17.0,0.0,0.5
Nauru,NRU,2022,5393.0,45699.517,5393.0,,,0.0,1.0,1.0,0.0
Palau,PLW,2022,0.0,0.0,,676.0,,0.0,9.0,0.0,
Samoa,WSM,2022,16607.0,7714.821,16607.0,0.0,0.0,,29.0,0.0,
Solomon Islands,SLB,2022,20080.012,2570.847,16444.0,2004.0,168.0,1464.0,144.0,0.0,0.073
Tonga,TON,2022,,,,,,,17.0,,
Tuvalu,TUV,2022,7700.0,77061.649,,,,7700.0,,0.0,1.0
Samoa,WSM,2023,19794.0,9135.847,19654.0,137.0,1.0,2.0,,,0.0
Vanuatu,VUT,2023,124.0,38.701,124.0,,,,,,
